Player Name,Presenze Totali,Gol,Assist,Sostituito In,Sostituito Out,Cartellino Giallo,Cartellino Rosso,Gol su Rigore,Gol per Minuti,Minuti Giocati,Presenze in Nazionale,Gol in Nazionale,Assist in Nazionale,Sostituito In (Nazionale),Sostituito Out (Nazionale),Cartellino Giallo in Nazionale,Cartellino Rosso in Nazionale,Gol su Rigore in Nazionale,Gol per Minuti in Nazionale,Minuti Giocati in Nazionale
Giuseppe Meazza,492,307,3,70,92,0,6,16,143',43.977',53,33,0,7,8,0,0,3,147',4.860'
Silvio Piola,612,320,7,4,1,0,6,26,171',54.615',34,30,0,6,4,0,0,1,103',3.090'
Roberto Baggio,604,277,152,62,144,31,2,93,172',47.636',56,27,14,11,16,3,0,7,152',4.099'
Alessandro Del Piero,777,316,184,168,257,57,0,70,170',53.841',91,27,11,30,43,5,0,6,191',5.152'
Adolfo Baloncieri,276,144,10,70,92,0,2,9,172',24.745',47,25,0,7,8,0,0,1,170',4.260'
Filippo Inzaghi,624,288,46,155,189,38,1,15,149',43.013',57,25,4,15,25,0,0,2,141',3.519'
Alessandro Altobelli,643,266,10,29,58,7,1,41,207',55.128',61,25,2,17,18,0,0,2,168',4.212'
Christian Vieri,476,236,34,112,102,49,6,25,141',33.236',49,23,4,3,26,4,0,0,151',3.467'
Francesco Graziani,534,181,9,26,49,2,5,5,251',45.448',64,23,0,7,9,2,0,1,211',4.845'
Sandro Mazzola,566,162,13,2,13,0,0,17,313',50.625',70,22,3,2,10,0,0,1,263',5.795'
Paolo Rossi,340,134,29,15,61,1,0,26,213',28.487',48,20,5,7,13,1,0,4,193',3.854'
Roberto Bettega,515,192,10,11,53,2,0,6,232',44.477',42,19,0,4,8,0,1,0,178',3.385'
Alberto Gilardino,643,232,67,147,164,64,1,18,195',45.143',57,19,5,17,30,1,0,0,165',3.143'
Luca Toni,650,301,86,77,166,85,3,23,167',50.403',47,16,3,14,23,4,0,0,176',2.810'
Gianluca Vialli,673,259,48,58,114,36,4,34,213',55.046',59,16,3,10,13,2,1,0,274',4.378'
Julio Libonatti,270,166,0,70,92,0,0,3,146',24.300',17,15,0,7,8,0,0,0,102',1.530'
Angelo Schiavio,361,252,1,29,40,0,3,1,128',32.220',21,15,0,3,1,0,0,0,127',1.910'
Gino Colaussi,391,75,0,70,92,0,9,5,460',34.485',26,15,0,7,8,0,0,0,156',2.340'
Raimundo Orsi,194,85,2,70,92,0,4,16,203',17.275',35,13,0,7,8,0,0,0,247',3.210'
Pierluigi Casiraghi,404,107,27,96,67,34,5,2,268',28.697',44,13,3,11,12,4,0,0,218',2840'
Virgilio Levratto,342,146,3,70,92,0,3,10,209',30.573',28,11,0,7,8,0,0,0,232',2.550'
Antonio Di Natale,688,302,80,115,237,45,4,44,169',51.007',42,11,5,17,17,0,0,0,207',2.276'
Riccardo Carapellese,347,120,6,70,92,0,1,0,260',31.140',16,10,1,7,8,0,0,0,144',1.440'
Gianfranco Zola,677,206,71,81,217,17,0,25,250',51.554',35,10,7,9,12,1,1,0,229',2.294'
Antonio Cassano,515,139,117,119,185,58,3,12,253',35.125',39,10,4,9,24,2,0,0,244',2.439'
Gino Rossetti,426,187,0,70,92,0,1,6,205',38.345',13,9,0,7,8,0,0,0,133',1.200'
Graziano Pellè,501,187,62,121,86,67,4,15,189',35.283',20,9,1,2,9,3,0,0,164',1.472'
Roberto Boninsegna,582,258,6,10,21,8,2,38,199',51.309',22,9,2,1,2,3,0,0,215',1.938'
Francesco Totti,783,307,206,106,227,132,11,84,194',59.432',58,9,25,12,25,9,0,2,425',3.824'
Annibale Frossi,164,52,0,70,92,0,0,0,285',14.820',5,8,0,7,8,0,0,0,64',510'
Omar Sívori,326,180,2,4,1,1,6,10,162',29.150',9,8,1,6,4,0,0,0,101',810'
Ezio Pascutti,331,144,1,1,4,0,3,0,204',29.417',17,8,0,1,5,0,1,0,156',1.248'
Amedeo Biavati,266,68,0,70,92,0,2,1,351',23.860',18,8,0,7,8,0,0,0,203',1.620'
Fabrizio Ravanelli,549,206,54,88,139,67,2,28,198',40.775',22,8,1,7,6,1,0,1,172',1.374'
Raffaele Costantino,292,91,0,70,92,0,1,4,288',26.220',23,8,0,7,8,0,0,0,259',2.070'
Pietro Anastasi,509,170,6,23,51,3,1,8,253',42.971',25,8,1,6,5,2,0,0,215',1.723'
Fabio Quagliarella,717,238,61,169,244,68,4,39,204',48.553',28,8,5,18,6,1,0,2,138',1.104'
Leopoldo Conti,265,77,6,29,40,0,2,2,309',23.788',31,8,0,3,1,0,0,0,343',2.746'
Giampiero Boniperti,465,185,10,64,81,1,4,2,225',41.580',38,8,1,3,2,0,0,0,414',3.311'
Giovanni Moscardini,31,11,0,70,92,0,0,0,254',2.790',9,7,0,7,8,0,0,0,116',810'
Amedeo Amadei,477,200,5,4,1,0,0,12,214',42.896',13,7,2,6,4,0,0,1,167',1.170'
Pierino Prati,354,157,47,5,24,1,0,12,196',30.741',14,7,0,5,11,0,0,0,189',1.320'
Salvatore Schillaci,384,159,18,15,79,34,2,10,206',32.709',16,7,1,4,3,0,0,1,170',1.188'
Enrico Chiesa,592,213,76,77,252,37,2,34,204',43.420',17,7,1,12,5,1,0,0,94',661'
Giuseppe Signori,552,261,54,41,161,44,2,57,168',43.909',28,7,5,6,5,2,0,0,288',2.018'
Giuseppe Rossi,362,132,42,104,138,38,0,32,170',22.429',30,7,2,12,15,0,0,0,215',1.503'
Angelo Domenghini,453,112,4,6,11,2,0,5,359',40.256',33,7,3,2,5,1,0,0,398',2.786'
Paolo Barison,394,128,1,12,6,1,0,11,272',34.762',9,6,0,2,2,0,0,0,117',704'
Amleto Frignani,324,52,5,70,92,0,0,1,561',29.190',14,6,0,7,8,0,0,0,210',1.260'
Giuseppe Della Valle,193,95,1,29,40,0,1,0,183',17.340',17,6,0,3,1,0,0,0,248',1.486'
Éder,17,3,0,5,10,2,0,0,320',961',26,6,4,8,15,3,0,0,255',1.529'
Federico Bernardeschi,17,8,5,2,1,4,0,0,174',1.395',39,6,6,20,14,3,0,0,297',1.781'
Vincenzo Iaquinta,387,121,37,124,100,31,5,17,200',24.218',40,6,1,21,9,2,0,1,348',2.089'
Franco Causio,747,108,21,54,71,9,6,17,577',62.318',63,6,7,9,11,1,2,0,797',4.780'
Guglielmo Gabetto,392,207,1,70,92,0,1,0,170',35.190',6,5,0,7,8,0,0,0,108',540'
José Altafini,585,279,7,64,22,3,0,14,172',48.119',6,5,1,3,5,0,0,0,108',540'
Menti III,205,86,0,70,92,0,2,22,213',18.345',7,5,0,7,8,0,0,0,126',630'
Guglielmo Brezzi,43,15,0,70,92,0,0,0,258',3.870',8,5,0,7,8,0,0,1,144',720'
Enrique Guaita,62,42,0,70,92,0,0,6,133',5.580',10,5,0,7,8,0,0,1,192',960'
Pietro Pasinati,431,50,0,70,92,0,6,1,767',38.351',11,5,0,7,8,0,0,0,204',1.020'
Carlo Galli,367,140,0,1,5,0,2,6,234',32.804',13,5,1,1,3,0,0,0,226',1.131'
Paolo Pulici,520,187,3,72,72,4,1,28,216',40.432',19,5,0,3,5,3,0,1,276',1.382'
Aldo Serena,432,149,22,51,59,14,2,6,229',34.138',24,5,1,16,1,0,0,0,218',1.091'
Bruno Conti,480,51,17,37,106,26,3,0,753',38.418',47,5,4,1,15,3,0,0,740',3.702'
Elvio Banchero,287,131,5,70,92,0,2,5,197',25.778',3,4,0,7,8,0,0,0,68',270'
Mateo Retegui,31,9,3,3,14,5,0,1,263',2.371',7,4,0,2,4,0,0,0,107',428'
Vincenzo Grifo,44,12,10,5,31,3,0,8,263',3.151',9,4,3,4,4,0,0,1,125',498'
Daniel Osvaldo,288,87,25,102,75,48,7,6,199',17.350',14,4,2,3,6,0,1,0,217',868'
Giorgio Chinaglia,248,124,5,1,9,4,1,35,177',21.983',14,4,0,2,5,0,0,1,253',1.010'
Benito Lorenzi,395,166,6,70,92,0,5,0,211',35.100',14,4,0,7,8,0,0,0,315',1.260'
Ermes Muccinelli,348,93,8,2,1,0,2,0,335',31.155',15,4,0,2,1,0,0,0,300',1.201'
Bruno Mora,288,76,4,2,3,0,1,12,338',25.709',21,4,0,1,2,0,0,1,448',1.791'
Marco Delvecchio,399,94,27,111,121,45,5,0,272',25.538',22,4,1,12,9,0,0,0,261',1.044'
Mario Corso,540,101,3,2,25,3,4,6,470',47.517',23,4,0,5,2,1,0,0,419',1.677'
Giampaolo Pazzini,569,191,32,214,128,56,2,35,180',34.370',25,4,4,15,5,0,1,0,260',1.041'
Emidio Cavigioli,97,26,0,70,92,0,0,0,336',8.730',2,3,0,7,8,0,0,0,60',180'
Ermanno Aebi,14,6,0,70,92,0,0,0,210',1.260',2,3,0,7,8,0,0,0,60',180'
Gino Stacchini,337,61,0,5,5,0,0,0,493',30.091',6,3,0,1,2,0,0,0,165',494'
Cristiano Lucarelli,529,217,26,89,132,93,8,48,179',38.933',6,3,0,4,1,0,0,0,100',300'
Aldo Cevenini,22,2,0,29,40,0,1,0,989',1.978',11,3,0,3,1,0,0,0,315',946'
Gino Cappello,351,121,5,70,92,0,2,6,260',31.410',11,3,0,7,8,0,0,0,330',990'
Aristodemo Santamaria,69,41,5,64,81,0,1,0,151',6.194',11,3,0,3,2,0,0,0,297',890'
Pietro Ferraris,537,151,2,70,92,0,1,1,320',48.270',14,3,0,7,8,0,0,0,430',1.290'
Attilio Lombardo,635,90,28,101,111,22,0,5,538',48.394',18,3,3,5,6,0,0,0,378',1.134'
Vincenzo Montella,478,220,46,113,169,46,1,35,148',32.668',20,3,2,15,3,1,0,1,251',754'
Angelo Longoni,290,55,0,70,92,0,1,3,475',26.100',1,2,0,7,8,0,0,0,45',90'
Emilio Caprile,312,89,1,70,92,0,0,3,316',28.080',2,2,0,7,8,0,0,0,90',180'
Eddie Firmani,293,166,0,70,92,1,0,1,159',26.370',3,2,0,7,8,0,0,0,135',270'
Eduardo Ricagni,131,37,0,70,92,0,0,0,319',11.790',3,2,0,7,8,0,0,0,135',270'
Gigi Meroni,192,35,2,89,114,0,0,4,495',17.340',6,2,0,3,8,0,0,0,201',402'
Angelo Sormani,464,132,31,11,14,1,1,14,308',40.695',7,2,0,4,1,0,0,0,299',597'
Gino Pivatelli,342,151,0,17,87,0,1,16,204',30.780',7,2,0,1,2,0,0,0,245',489'
Giuseppe Virgili,271,114,0,70,92,0,2,3,213',24.240',7,2,0,7,8,0,0,0,315',630'
Francesco Moriero,442,43,28,83,155,56,6,0,725',31.195',8,2,1,2,2,1,0,0,312',624'
Sergio Brighenti,391,176,0,1,5,1,0,4,200',35.234',9,2,0,1,3,0,0,0,368',735'
Ruggiero Rizzitelli,458,120,20,80,132,36,5,11,274',32.865',9,2,0,7,1,0,0,0,187',373'
Fabrizio Miccoli,620,227,92,129,239,95,6,29,187',42.343',10,2,2,5,4,1,0,0,224',447'
Andrea Carnevale,519,153,13,79,83,26,5,7,263',40.266',10,2,0,1,6,0,0,0,360',720'
Manolo Gabbiadini,27,14,3,1,11,2,0,1,162',2.264',13,2,1,11,3,0,0,0,152',303'
Bernardo Corradi,503,110,33,128,104,82,2,11,316',34.721',13,2,0,8,4,0,0,0,267',533'
Marco Di Vaio,698,269,60,159,217,59,2,15,179',48.229',14,2,0,7,7,0,0,0,336',671'
Felice Berardo,21,4,0,70,92,0,0,0,473',1.890',14,2,0,7,8,0,0,0,645',1.290'
Simone Zaza,377,117,27,126,93,105,6,4,206',24.065',18,2,3,9,6,3,0,0,427',853'
Cosimo Nocera,223,86,1,1,5,0,0,7,231',19.856',1,1,0,1,3,0,0,0,44',44'
Sergio Pellissier,618,165,48,185,177,46,2,17,243',40.118',1,1,0,1,12,0,0,0,28',28'
Ettore Puricelli,298,172,8,70,92,0,7,1,155',26.693',1,1,0,7,8,0,0,0,90',90'
Ettore Puricelli,298,172,8,70,92,0,7,1,155',26.693',1,1,0,7,8,0,0,0,90',90'
Ettore Puricelli,298,172,8,70,92,0,7,1,155',26.693',1,1,0,7,8,0,0,0,90',90'
Ettore Puricelli,298,172,8,70,92,0,7,1,155',26.693',1,1,0,7,8,0,0,0,90',90'
Francesco Caputo,21,4,0,5,11,0,0,1,341',1.364',2,1,1,1,1,0,0,0,82',82'
Giulio Cappelli,56,4,0,70,92,0,1,1,1.238',4.950',2,1,0,7,8,0,0,0,180',180'
Renato Cappellini,298,74,4,5,32,0,1,0,344',25.490',2,1,0,1,3,0,0,0,121',121'
Renato Cattaneo,345,153,0,70,92,0,1,12,203',31.030',2,1,0,7,8,0,0,0,180',180'
Guglielmo Trevisan,420,107,0,70,92,0,8,11,348',37.259',2,1,0,7,8,0,0,0,180',180'
Attila Sallustro,284,118,2,4,1,0,1,0,215',25.425',2,1,0,6,4,0,0,0,180',180'
Virginio De Paoli,374,142,4,2,13,0,0,16,234',33.266',3,1,0,3,1,0,0,0,226',226'
Felice Borel,315,161,0,70,92,0,2,11,175',28.170',3,1,0,7,8,0,0,0,270',270'
Pasquale Vivolo,235,74,2,3,1,0,0,13,283',20.933',4,1,0,1,1,0,0,0,314',314'
Pio Ferraris,42,16,2,70,92,0,0,0,236',3.780',4,1,0,7,8,0,0,0,390',390'
Renzo Burini,337,127,5,2,1,0,0,21,238',30.286',4,1,0,1,1,0,0,0,270',270'
Gianfranco Petris,306,93,0,99,90,0,4,0,293',27.270',4,1,0,1,3,0,0,0,300',300'
Giuseppe Savoldi,544,229,5,14,18,2,1,48,208',47.704',4,1,0,11,7,0,0,1,360',360'
Marino Perani,459,90,2,13,32,0,1,11,443',39.849',4,1,1,6,10,0,0,0,360',360'
Stefano Okaka,499,116,37,188,133,75,3,1,256',29.669',5,1,1,5,5,0,0,0,98',98'
Angelo Mattea,129,36,1,70,92,0,0,0,323',11.640',5,1,0,7,8,0,0,0,450',450'
Alcides Ghiggia,216,19,0,4,1,0,3,1,1.008',19.155',5,1,0,6,4,0,1,0,428',428'
